YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
1912,34.7,38.7,49.2,61.3,69.5,73.2,77.7,76.4,75.1,62.4,49.9,45.4,59.5
1913,48.9,44.4,53.6,59.2,69.9,75,80.4,77.1,68.5,61,51.8,44.5,61.2
1914,43.9,39.7,46.1,60.5,70.6,79.7,78.6,77.7,69.2,62.2,50.5,38.4,59.8
1915,41.5,45.7,43.1,61.8,69.3,73.1,79.4,76,73.3,64.4,53.3,41.3,60.2
1916,47.5,43.6,49.8,59,72.6,74.1,76.1,77.6,70,61,52.9,43.3,60.6
1917,46.1,42.9,50.3,62.3,63.5,75.2,77.4,76.8,67.7,57,49.2,33.5,58.5
1918,32.4,48.6,55.8,57.5,72.3,75.2,75.9,78.8,66.9,64,50.7,47.1,60.4
1919,45,42.8,52.1,59.9,69.1,75.8,78.6,77,72.7,69.9,52.9,41.6,61.5
1920,39.8,39.8,49.9,57.7,65.5,75.6,77.8,74.9,72.7,62.7,49.5,43,59.1
1921,42.2,45.5,59.5,61.6,66,78,79.5,76.1,79.2,60.8,54,47.1,62.5
1922,40.2,48.4,53.1,61,69.4,77.5,78.8,74.9,73.5,62.9,51.6,46.6,61.5
1923,44.5,42.2,52.7,59,66.2,77,78.6,78.4,73.7,61.3,48.9,50.2,61.1
1924,40,40.6,48.6,58.8,66,77,77,80,67.6,60.9,52.2,44.1,59.4
1925,40.5,50.5,54.1,63.9,66.1,80.5,81.4,78.3,80.5,59.5,47.9,42.3,62.1
1926,41,46.3,45,58.6,69.9,75.5,80.1,80.7,76.3,63.6,47.9,44.4,60.8
1927,42.8,53.4,53.6,61.3,70.6,73.3,78.5,74.8,74.5,64,55,43.5,62.1
1928,41.8,43.7,50.9,57.1,67.1,75.4,80.6,79.8,68.9,64.5,51.4,44.3,60.5
1929,43.3,42.5,55.9,63.6,68.6,75,77.7,76.9,71,59,51.7,43.5,60.7
1930,44,50.6,48.7,62.2,71.9,75.2,81.5,76.7,76.2,59.2,48.8,38.6,61.1
1931,42.4,46.2,46.5,58.5,67.3,77.7,82.5,77.1,77,65,58.8,50.5,62.5
1932,51.9,51.5,49,60.3,68.5,77.5,81.5,78.6,72,62.6,48,46.6,62.3
1933,49.2,44.4,51.2,59.8,73,78.4,77.5,76.7,76.7,61.8,51,48,62.3
1934,45.1,36,47.7,59.8,67.9,77.8,79.9,78.6,74.8,61.5,53.6,42.2,60.4
1935,41.9,44,56.9,59.2,68,77.7,79.4,78.8,71.9,62.5,54.2,35.9,60.9
1936,37.7,40.3,54.9,57.3,72.5,77.5,80.9,79.5,74.4,63.8,49.6,45.1,61.1
1937,49.4,43.5,50.4,59.2,69.7,78.2,79,79.1,69.5,58.4,48,42.1,60.5
1938,42.4,49.2,57.4,61.3,70.2,74.4,78.2,80.1,73,62.8,54.7,43.2,62.2
1939,45.9,49.6,55.4,60,69.1,80.8,79.3,78.7,75.7,65.5,49.6,45.2,62.9
1940,31.3,43.8,48.5,59.1,67.9,78.2,78.7,77.6,71.5,63,52,47,59.9
1941,42.5,40.1,46.3,64,72,76.9,79.8,79.7,76.1,69.3,52.8,47.1,62.2
1942,42.3,40.2,53.3,64.1,70.5,78.6,81.1,77.8,73.2,63.4,53.3,41.5,61.6
1943,44.1,46.8,49.6,59.6,71.4,81.4,79.2,80.5,69.8,60.7,51.3,43.9,61.5
1944,43.1,46.9,51,59.9,73.5,80.8,77.5,76.5,73.3,61.7,49.8,39.4,61.1
1945,42,46.4,61.5,63.9,66.7,78.2,79,77.3,75.4,61.2,52.9,37.7,61.9
1946,43.4,47.1,59,62.6,67.9,76.9,77.8,75.7,71.3,62.5,56.8,47.6,62.4
1947,46.8,37.7,44.3,63.2,70.2,76.1,76.2,79.5,73.7,65.8,48.3,43.6,60.5
1948,37,44.7,55.2,64.2,70.1,77.9,81.1,78,70.2,58.4,55,46.4,61.5
1949,50.5,50.4,52.2,57.9,69.2,77.1,80.3,76.9,69.2,65.3,49.2,44.3,61.9
1950,52.5,47.1,47.9,58.5,70.4,76.7,76.9,76.1,70.2,64.5,47.4,38.6,60.6
1951,42.3,45.2,51.4,59.6,68,76.4,79.4,79.7,72.2,64.4,46.1,44.5,60.8
1952,47.7,45.6,50.6,59.9,70,80.6,80,76.3,70.3,57.2,51,42.1,60.9
1953,46.7,47,52.7,59.5,74.2,76.9,79.7,77.9,71,63.6,51.3,43.1,62
1954,43.2,48.2,49.8,63.6,64,77.2,80.4,80.8,77.3,63.7,48.4,41.8,61.5
1955,41.3,45.8,53.8,64.8,72.1,73.1,81.3,81.1,74.2,61,50.4,40.7,61.6
1956,41,47.9,51.2,58.7,70,76.8,79.7,79.8,70,63.4,50.1,53,61.8
1957,44.1,49.8,50.5,64.1,70.3,77,80,78,73.4,57.6,53,45.1,61.9
1958,37.3,36.8,46.7,60.6,70.1,76.3,79.5,78.6,72.5,59.9,54.4,39.5,59.4
1959,40.8,45.8,49.2,62,71.9,77,78.9,79.8,73,63.1,50.9,44.3,61.4
1960,42.5,42.6,39.7,63.2,67.9,76.4,78.9,79.6,73.6,63.7,51.8,38.6,59.9
1961,38.1,46.4,52.8,53,63.7,72.8,77.3,76.9,75.3,62,56.2,42.7,59.8
1962,39.4,46.7,48.2,58.4,74.5,74.7,78.5,77,71.2,62.6,48,38,59.8
1963,37.3,37.5,54,62.9,68.8,75.3,77.9,78.9,70.1,63.6,52.7,35.6,59.6
1964,41.5,40,50.9,60.6,69.8,77.7,76.9,75,70.9,55.6,54.8,45.3,59.9
1965,41.5,44.6,46.8,62.4,73.4,73.2,77.8,78,73.1,59.6,51.4,44,60.5
1966,36,42.2,50.1,58.7,67.6,73.9,79.6,77.2,70.7,57.9,50.2,41.4,58.8
1967,43.3,40,53.9,62.6,63.7,73.1,76.3,75.1,67,59.9,47.8,46.3,59.1
1968,37.9,38.7,51.5,59,64.8,73.8,77,79.3,71.3,60.6,49.4,38.6,58.5
1969,38,39.6,45.1,60.7,67.8,77.3,80.8,75.6,69,60.3,47.7,39.5,58.5
1970,34.7,41.1,48.5,61.2,68.2,74.4,79.5,78.8,75.9,63.5,49.6,44.6,60
1971,39.9,41.4,46.2,58.3,65,76.5,76.1,75.8,73.1,64.7,49,50.6,59.7
1972,44.6,40.3,49.6,58.5,64.6,71.2,76.9,77.1,72.6,59,48.7,46.5,59.1
1973,39.6,40,54.1,57.6,64.6,74.6,78.5,76.8,74.6,62.1,52.6,41.7,59.7
1974,49.8,44,55.1,60,68.5,72.2,76.8,75.8,68.4,58.3,49.9,42.1,60.1
1975,45.1,45,50.4,59,70.5,75,76.2,78.8,70.8,63.6,53.5,42.4,60.9
1976,39.3,50.2,54.7,59.8,65,72.4,76.9,76.1,69.5,55.5,44.1,39,58.5
1977,30.1,42.1,54.8,62.5,69.8,75.2,82.3,79.7,74.4,58.7,53.5,42.5,60.5
1978,36.9,36.7,49.4,61.4,66.6,76.2,78.9,79,74.2,60.1,56.2,44.8,60
1979,36.6,37.9,53.7,60.2,67.6,71.6,76.6,78.3,70.4,59.3,52.9,43.6,59.1
1980,41.4,38.8,47.4,59.9,68.1,73.9,80,80.8,74.8,58.2,48.7,42.5,59.5
1981,36.1,44.1,48.4,64.1,65.1,78.1,78.7,75.1,70.2,58,51.3,39.3,59
1982,36,45.4,52.7,57.5,71.9,75,78.3,76.3,70,60.5,52.3,47.9,60.3
1983,38.8,41.7,50.6,54.8,66.7,73.8,80.7,80.2,71,61,50,39.6,59.1
1984,38.3,45.4,50,56.5,65.9,76.3,76,77.1,69,67.8,47.8,50,60
1985,35.6,43.1,54,61.4,68,75.7,77.4,75.7,70.6,64.7,58.6,39.7,60.4
1986,38.8,46.7,52.7,64.3,69.5,80.5,84.7,76.9,74.1,64,53.1,43.4,62.4
1987,40,42.9,51,58.9,71.6,77.7,82.3,81.4,73.5,56.2,53.5,45.5,61.2
1988,35.8,43.4,52.7,60.6,68.4,75.3,79.6,80.9,71.7,56.3,53,43.7,60.1
1989,46.8,45.9,53.4,60.7,66.7,78.2,79.6,77.7,71.8,63.5,52.1,36.5,61.1
1990,48.5,52.2,55.9,61.1,69,77.7,81.1,80.1,74,63.8,55.4,49,64
1991,43.1,48.4,55.2,64.4,74,77.5,82.2,78.4,73.8,63.5,51.3,48.2,63.3
1992,45,48.7,52.7,61.3,66,73.9,82.3,76.1,72.1,59.9,52.4,42.9,61.1
1993,45,43.1,49.6,58.7,70.5,78.8,85.5,80.2,74.8,62.2,52.7,42.9,62
1994,38.4,46.7,55.1,64.7,67.1,79,79.9,77.2,71,61.8,55.6,48,62
1995,42.1,41.8,54.3,62.3,69.2,74,80.4,79.9,70.4,62.8,47.1,40.9,60.4
1996,39.3,44.5,47.3,59,70.2,76.8,78.9,76.9,71.6,61.9,47.6,46.3,60
1997,42.7,48.5,58.3,58.1,66.3,73,81.2,78.9,73.3,62.7,48.7,42.9,61.2
1998,47.1,49.7,52,62.3,74.3,80.8,79.7,77.1,73.1,61.6,53.2,47.7,63.2
1999,45.7,46.1,47.7,62.1,65.8,73.3,78.8,79.4,69.1,58.9,54.1,43.5,60.4
2000,39.8,46.5,55.1,57,69.3,75.8,76.9,76.5,69.1,60.6,48.7,35.2,59.2
2001,40.7,47.8,48.7,61.2,68.1,75.6,76.3,79.6,69,58,56.4,48.3,60.8
2002,43.1,44.2,51.7,64.3,65.9,76.2,80.6,78,73.3,61.7,48.4,40.9,60.7
2003,37.3,42.6,54.1,58.6,66.4,72.8,76.5,77.6,69.8,60.2,55.7,40.5,59.3
2004,39.7,40,53.8,59.5,72.1,75,77.9,74.6,71.1,63,53.1,42,60.2
2005,44.1,45.3,49,58.5,64.7,74.5,79.5,79.5,74.9,61.9,51.8,40.1,60.3
2006,47,43.5,51.7,63.1,65.8,74.5,78.2,78.8,69.8,57.8,51.8,47.4,60.8
2007,44,41,56.8,58.5,67.6,75.9,76.7,83.7,75,66.1,50,48.8,62
2008,40.5,46.7,52.3,58.6,67.1,79,78.5,77.5,71.5,58.3,46.6,46.9,60.3
2009,40,44.5,50.7,60,69.1,76.8,77,78.4,71.6,59.2,53.1,39.9,60
2010,37.5,38.3,50.9,62.7,71.5,80.2,82,80.9,75.4,61.7,50.9,34.8,60.6
2011,37.3,48,52.5,63.3,69.7,78.4,81.8,79.2,72,58.8,52.1,47.9,61.8
2012,44.7,46.9,61.2,61.1,71.5,74.7,82.3,77.1,71.3,60.2,48,48.9,62.3
2013,45.1,42.7,46.1,60.7,66.4,76.3,78.1,76.2,72.3,62.4,47.7,46.4,60
2014,35.5,45.4,47.3,61.1,69.6,77.1,77.5,76.4,72.1,63,47.2,45.7,59.9
2015,40.3,37.4,54.1,62.2,71.7,80.1,82,79.5,73,60.4,54.6,55.4,62.6
2016,39.4,44.5,58.5,61.8,68.1,78.4,82.8,82.5,76.8,64.2,53.5,44.6,62.9
2017,47.6,53.5,52.9,65.4,69.5,75.8,81.3,78.1,72.4,63.9,51.9,45,63.1
2018,37.8,54.5,49.1,58.7,74,79.3,80.3,79.7,78.9,64.1,48.7,45.8,62.6
2019,43.9,50.1,50.6,63.1,74.3,76.6,81.6,79.3,78.7,67.1,48.6,47.5,63.5
2020,46.9,48.8,58.6,60.6,65.5,76,82,79.8,71.4,64.7,56.7,43.5,62.9
2021,42.3,44.1,55.9,60.6,68.3,77.2,80.1,80.4,72.7,66.7,49.6,53.2,62.6
2022,41.1,48,56.5,62,71.8,78.8,82.1,78.6,72.3,59.4,54.8,42.8,62.4
